code,swiss-ai/Apertus-8B-2509_max,swiss-ai/Apertus-8B-2509_mean,avg
ibo_Latn,0.1359,0.0291,0.1359
kor_Hang,0.7767,0.363,0.7767
kan_Knda,0.4078,0.1347,0.4078
nob_Latn,0.9515,0.5405,0.9515
sna_Latn,0.1068,0.0321,0.1068
hun_Latn,0.9709,0.4201,0.9709
bul_Cyrl,0.9126,0.4428,0.9126
mal_Mlym,0.4175,0.155,0.4175
fuv_Latn,0.0194,0.0059,0.0194
plt_Latn,0.2718,0.0794,0.2718
slk_Latn,0.8932,0.4545,0.8932
ukr_Cyrl,0.8738,0.4098,0.8738
lug_Latn,0.068,0.0132,0.068
isl_Latn,0.7087,0.2863,0.7087
snd_Arab,0.1748,0.0447,0.1748
fin_Latn,0.8641,0.4066,0.8641
arb_Arab,0.4369,0.1247,0.4369
nya_Latn,0.1165,0.033,0.1165
asm_Beng,0.0777,0.0188,0.0777
est_Latn,0.8447,0.3751,0.8447
zsm_Latn,0.4951,0.155,0.4951
rus_Cyrl,0.9126,0.5481,0.9126
tgk_Cyrl,0.3786,0.1059,0.3786
kin_Latn,0.1068,0.0318,0.1068
ron_Latn,0.699,0.2545,0.699
ita_Latn,0.9223,0.5193,0.9223
ces_Latn,0.9612,0.4796,0.9612
pan_Guru,0.3107,0.1021,0.3107
pes_Arab,0.4369,0.1862,0.4369
hin_Deva,0.1553,0.0524,0.1553
kir_Cyrl,0.301,0.0939,0.301
war_Latn,0.2039,0.0594,0.2039
sot_Latn,0.0971,0.03,0.0971
lit_Latn,0.7573,0.3336,0.7573
tel_Telu,0.4466,0.1468,0.4466
luo_Latn,0.0291,0.0071,0.0291
ilo_Latn,0.1748,0.0391,0.1748
amh_Ethi,0.0388,0.0074,0.0388
tir_Ethi,0.0194,0.0018,0.0194
hye_Armn,0.0291,0.0082,0.0291
khm_Khmr,0.0777,0.0124,0.0777
ory_Orya,0.0097,0.0021,0.0097
ind_Latn,0.9709,0.4678,0.9709
pol_Latn,0.9417,0.426,0.9417
spa_Latn,0.8155,0.4431,0.8155
som_Latn,0.1942,0.0488,0.1942
mri_Latn,0.1456,0.0344,0.1456
ckb_Arab,0.0194,0.0047,0.0194
dan_Latn,0.9709,0.4904,0.9709
ssw_Latn,0.0874,0.0221,0.0874
sun_Latn,0.1456,0.0518,0.1456
jav_Latn,0.165,0.0515,0.165
swe_Latn,0.8835,0.4625,0.8835
eng_Latn,1.0,1.0,1.0
tgl_Latn,0.6505,0.233,0.6505
nld_Latn,0.9223,0.4878,0.9223
lin_Latn,0.068,0.0168,0.068
fra_Latn,0.932,0.5302,0.932
por_Latn,0.8932,0.4778,0.8932
mar_Deva,0.4466,0.1456,0.4466
urd_Latn,0.1359,0.0415,0.1359
vie_Latn,0.835,0.3886,0.835
urd_Arab,0.4563,0.1792,0.4563
npi_Deva,0.1262,0.0262,0.1262
nso_Latn,0.0777,0.0194,0.0777
shn_Mymr,0.0097,0.0012,0.0097
kaz_Cyrl,0.3398,0.0956,0.3398
kat_Geor,0.6117,0.2439,0.6117
tam_Taml,0.5728,0.1751,0.5728
tha_Thai,0.6796,0.1877,0.6796
hat_Latn,0.3981,0.1265,0.3981
ell_Grek,0.8641,0.3528,0.8641
hau_Latn,0.0583,0.0179,0.0583
mkd_Cyrl,0.8641,0.3895,0.8641
hin_Latn,0.1748,0.0465,0.1748
afr_Latn,0.8835,0.4298,0.8835
srp_Cyrl,0.767,0.3616,0.767
arz_Arab,0.6699,0.1812,0.6699
mya_Mymr,0.0874,0.0235,0.0874
guj_Gujr,0.3883,0.1353,0.3883
ary_Arab,0.0777,0.0132,0.0777
eus_Latn,0.1456,0.0412,0.1456
wol_Latn,0.0291,0.0047,0.0291
ceb_Latn,0.4272,0.1321,0.4272
deu_Latn,0.7184,0.3442,0.7184
tur_Latn,0.699,0.3151,0.699
hrv_Latn,0.8058,0.3975,0.8058
zul_Latn,0.1165,0.0394,0.1165
cat_Latn,0.7961,0.4172,0.7961
kac_Latn,0.0097,0.0012,0.0097
yor_Latn,0.0485,0.0109,0.0485
bam_Latn,0.0291,0.0085,0.0291
slv_Latn,0.8641,0.3875,0.8641
tsn_Latn,0.0971,0.0247,0.0971
xho_Latn,0.1262,0.0335,0.1262
sin_Sinh,0.0388,0.0071,0.0388
swh_Latn,0.5243,0.1954,0.5243
tso_Latn,0.0485,0.0185,0.0485
mlt_Latn,0.4272,0.1389,0.4272
heb_Hebr,0.4563,0.2183,0.4563
ben_Beng,0.0874,0.0338,0.0874
