code,sentence-transformers/LaBSE_max,sentence-transformers/LaBSE_mean,avg
ibo_Latn,0.9709,0.5176,0.9709
kan_Knda,0.9612,0.4742,0.9612
kor_Hang,0.9903,0.6042,0.9903
hun_Latn,1.0,0.6654,1.0
sna_Latn,0.9903,0.5922,0.9903
nob_Latn,0.9903,0.8013,0.9903
bul_Cyrl,1.0,0.755,1.0
plt_Latn,0.9806,0.6154,0.9806
mal_Mlym,0.9126,0.46,0.9126
fuv_Latn,0.1942,0.053,0.1942
slk_Latn,0.9806,0.6438,0.9806
lug_Latn,0.6214,0.1964,0.6214
ukr_Cyrl,0.9903,0.7035,0.9903
snd_Arab,0.9126,0.4705,0.9126
isl_Latn,0.9515,0.6677,0.9515
fin_Latn,0.9903,0.7035,0.9903
arb_Arab,0.9029,0.4003,0.9029
nya_Latn,0.9515,0.5818,0.9515
asm_Beng,0.932,0.4309,0.932
zsm_Latn,0.8835,0.2696,0.8835
est_Latn,0.9515,0.6819,0.9515
rus_Cyrl,1.0,0.7401,1.0
tgk_Cyrl,0.9806,0.6161,0.9806
kin_Latn,0.9126,0.5198,0.9126
ita_Latn,0.9903,0.7177,0.9903
ron_Latn,0.9806,0.6378,0.9806
ces_Latn,1.0,0.7491,1.0
pan_Guru,0.9806,0.5997,0.9806
pes_Arab,0.9612,0.6169,0.9612
hin_Deva,0.9223,0.5922,0.9223
kir_Cyrl,0.9806,0.5452,0.9806
lit_Latn,0.9806,0.6594,0.9806
sot_Latn,0.9612,0.5803,0.9612
war_Latn,0.8447,0.4085,0.8447
luo_Latn,0.1165,0.0441,0.1165
tel_Telu,0.9417,0.4996,0.9417
ilo_Latn,0.2136,0.062,0.2136
tir_Ethi,0.2816,0.0568,0.2816
amh_Ethi,0.9806,0.6169,0.9806
khm_Khmr,0.932,0.4623,0.932
hye_Armn,0.9417,0.6131,0.9417
ind_Latn,0.9806,0.7132,0.9806
ory_Orya,0.9709,0.6311,0.9709
pol_Latn,0.9806,0.6804,0.9806
spa_Latn,0.9903,0.6796,0.9903
som_Latn,1.0,0.5795,1.0
mri_Latn,0.9903,0.6542,0.9903
dan_Latn,0.9903,0.8043,0.9903
ckb_Arab,0.0971,0.0463,0.0971
sun_Latn,0.7864,0.4078,0.7864
ssw_Latn,0.7961,0.3473,0.7961
jav_Latn,0.9417,0.5512,0.9417
tgl_Latn,1.0,0.6699,1.0
eng_Latn,1.0,1.0,1.0
swe_Latn,0.9612,0.655,0.9612
nld_Latn,1.0,0.8521,1.0
lin_Latn,0.2913,0.0799,0.2913
fra_Latn,0.9806,0.7005,0.9806
por_Latn,0.9515,0.6647,0.9515
vie_Latn,0.9515,0.5728,0.9515
urd_Latn,0.0194,0.0075,0.0194
mar_Deva,0.9806,0.6333,0.9806
urd_Arab,0.9709,0.4817,0.9709
nso_Latn,0.9417,0.4974,0.9417
npi_Deva,0.8932,0.4892,0.8932
shn_Mymr,0.0,0.0,0.0
kaz_Cyrl,0.9612,0.5414,0.9612
kat_Geor,1.0,0.6169,1.0
tha_Thai,0.9417,0.2995,0.9417
tam_Taml,0.8835,0.4683,0.8835
hat_Latn,0.9709,0.6273,0.9709
hau_Latn,0.9806,0.5653,0.9806
ell_Grek,0.9806,0.646,0.9806
mkd_Cyrl,0.9612,0.7132,0.9612
afr_Latn,1.0,0.814,1.0
hin_Latn,0.0291,0.0105,0.0291
srp_Cyrl,0.9612,0.702,0.9612
arz_Arab,0.932,0.4152,0.932
mya_Mymr,0.9709,0.4593,0.9709
eus_Latn,0.8641,0.3353,0.8641
ary_Arab,0.2621,0.0463,0.2621
guj_Gujr,0.8252,0.5078,0.8252
wol_Latn,0.2524,0.0784,0.2524
tur_Latn,0.8641,0.5198,0.8641
deu_Latn,0.9126,0.5347,0.9126
ceb_Latn,0.8932,0.5176,0.8932
zul_Latn,0.9709,0.5683,0.9709
hrv_Latn,0.9806,0.6811,0.9806
kac_Latn,0.0777,0.0105,0.0777
cat_Latn,0.9903,0.6647,0.9903
bam_Latn,0.1068,0.0261,0.1068
yor_Latn,0.9709,0.4533,0.9709
slv_Latn,0.9903,0.6774,0.9903
xho_Latn,0.9709,0.5624,0.9709
tsn_Latn,0.9709,0.5161,0.9709
sin_Sinh,0.932,0.5026,0.932
swh_Latn,0.9515,0.6243,0.9515
heb_Hebr,0.7767,0.4249,0.7767
mlt_Latn,0.932,0.5639,0.932
tso_Latn,0.2913,0.0695,0.2913
ben_Beng,0.9709,0.5982,0.9709
